player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,usg_pct,season,2019-20_wins,2019-20_losses,2020-21_wins,2020-21_losses,2021-22_wins,2021-22_losses
Anthony Davis,LAL,28.0,208.28,114.758776,36,21.8,7.9,3.1,5.2,0.287,2020-21,52,19,42,30,33,49
Anthony Davis,LAL,29.0,208.28,114.758776,40,23.2,9.9,3.1,-3.0,0.263,2021-22,52,19,42,30,33,49
Anthony Davis,LAL,27.0,208.28,114.758776,62,26.1,9.3,3.2,5.0,0.284,2019-20,52,19,42,30,33,49
LeBron James,LAL,35.0,205.74,113.398,67,25.3,7.8,10.2,8.5,0.308,2019-20,52,19,42,30,33,49
LeBron James,LAL,36.0,205.74,113.398,45,25.0,7.7,7.8,9.2,0.31,2020-21,52,19,42,30,33,49
LeBron James,LAL,37.0,205.74,113.398,56,30.3,8.2,6.2,-2.5,0.317,2021-22,52,19,42,30,33,49
Damian Lillard,POR,31.0,187.96,88.45044,29,24.0,4.1,7.3,-1.8,0.288,2021-22,35,39,42,30,27,55
Damian Lillard,POR,29.0,187.96,88.45044,66,30.0,4.3,8.0,1.4,0.294,2019-20,35,39,42,30,27,55
Damian Lillard,POR,30.0,187.96,88.45044,67,28.8,4.2,7.5,4.0,0.306,2020-21,35,39,42,30,27,55
Jamal Murray,DEN,24.0,190.5,97.52228,48,21.2,4.0,4.8,8.0,0.244,2020-21,46,27,47,25,48,34
Jamal Murray,DEN,23.0,193.04,97.52228,59,18.5,4.0,4.8,5.3,0.248,2019-20,46,27,47,25,48,34
Michael Porter Jr.,DEN,23.0,208.28,98.883056,61,19.0,7.3,1.1,8.3,0.214,2020-21,46,27,47,25,48,34
Michael Porter Jr.,DEN,22.0,208.28,98.883056,55,9.3,4.7,0.8,0.7,0.211,2019-20,46,27,47,25,48,34
Michael Porter Jr.,DEN,24.0,208.28,98.883056,9,9.9,6.6,1.9,9.8,0.192,2021-22,46,27,47,25,48,34
Kawhi Leonard,LAC,30.0,200.66,102.0582,52,24.8,6.5,5.2,12.2,0.282,2020-21,49,23,47,25,42,40
Kawhi Leonard,LAC,29.0,200.66,102.0582,57,27.1,7.1,4.9,12.2,0.327,2019-20,49,23,47,25,42,40
Paul George,LAC,30.0,203.2,99.79024,48,21.5,5.7,3.9,8.7,0.292,2019-20,49,23,47,25,42,40
Paul George,LAC,31.0,203.2,99.79024,54,23.3,6.6,5.2,11.3,0.296,2020-21,49,23,47,25,42,40
Paul George,LAC,32.0,203.2,99.79024,31,24.3,6.9,5.7,4.2,0.3289999999999999,2021-22,49,23,47,25,42,40
Kyrie Irving,BKN,30.0,187.96,88.45044,29,27.4,4.4,5.8,5.2,0.283,2021-22,35,37,48,24,44,38
Kyrie Irving,BKN,29.0,187.96,88.45044,54,26.9,4.8,6.0,5.6,0.297,2020-21,35,37,48,24,44,38
Kyrie Irving,BKN,28.0,187.96,88.45044,20,27.4,5.2,6.4,-0.4,0.318,2019-20,35,37,48,24,44,38
Zion Williamson,NOP,19.0,198.12,128.820128,24,22.5,6.3,2.1,5.1,0.291,2019-20,30,42,31,41,36,46
Zion Williamson,NOP,20.0,200.66,128.820128,61,27.0,7.2,3.7,2.1,0.287,2020-21,30,42,31,41,36,46
